Property Type Cleaned,Area Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Price by sub-area,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,bedroom apartment,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,project boasts,project offers,stories offering,towers stories
3.0,854.0,1,0,0,0,1,1,1,55.24,4,98.58288659793813,9,3,6,0,0,0,0,0,0,0,0,0,0
2.0,626.0,1,0,0,0,1,0,0,45.6,2,81.48103448275862,10,2,2,0,0,0,0,0,0,0,0,0,0
2.0,715.0,1,0,0,0,1,0,0,45.6,2,81.48103448275862,11,3,6,0,0,0,0,0,0,0,0,0,0
2.0,692.5,0,0,0,0,1,0,0,81.75,1,62.83238095238095,14,6,3,0,0,0,0,0,0,0,0,0,0
3.0,968.0,0,0,0,0,1,0,0,81.75,1,62.83238095238095,12,2,5,0,0,0,0,0,0,0,0,0,0
3.0,996.0,0,0,0,0,1,0,0,81.75,1,62.83238095238095,14,5,5,0,0,0,0,0,0,0,0,0,0
3.0,1038.0,0,0,0,0,1,0,0,81.75,1,62.83238095238095,15,3,6,0,0,0,0,0,0,0,0,0,0
1.0,489.0,1,0,0,0,1,1,1,63.28333333333333,4,98.58288659793813,10,6,5,0,0,0,0,0,0,0,0,0,0
2.0,598.0,1,0,0,0,1,1,1,63.28333333333333,4,98.58288659793813,9,3,3,0,0,0,0,0,0,0,0,0,0
2.0,616.0,1,0,0,0,1,1,1,63.28333333333333,4,98.58288659793813,9,3,3,0,0,0,0,0,0,0,0,0,0
2.0,692.0,1,0,0,0,1,1,1,63.28333333333333,4,98.58288659793813,11,4,4,0,0,0,0,0,0,0,0,0,0
3.0,867.0,1,0,0,0,1,1,1,63.28333333333333,4,98.58288659793813,9,4,2,0,0,0,0,0,0,0,0,0,0
3.0,908.0,1,0,0,0,1,1,1,63.28333333333333,4,98.58288659793813,13,4,3,0,0,0,0,0,0,0,0,0,0
3.0,1624.0,1,0,0,0,1,1,1,174.64999999999992,4,98.58288659793813,13,3,6,0,0,0,0,0,0,0,0,0,0
4.0,1662.9,1,0,0,0,1,1,1,174.64999999999992,4,98.58288659793813,20,5,5,0,0,0,0,0,0,0,0,0,0
